Options: 
	Output File = (null)
	CSV mode = 0
	Device ID = 0
	Sample Rate = 100 ms
	Number of power samples = 600
	Print PSU info = 0
	Process Name = (null)

	Temperature Cutoff (0 iff disabled) = 0
Initializing NVML... Success
Getting device... Selected device 0: Tesla V100-SXM2-16GB


Starting power measurement...
[440] Application util under 95%: 00
[441] Application util under 95%: 00
[442] Application util under 95%: 00
[443] Application util under 95%: 00
[444] Application util under 95%: 00
[445] Application util under 95%: 00
[446] Application util under 95%: 00
[447] Application util under 95%: 00
[448] Application util under 95%: 00
[449] Application util under 95%: 00
[450] Application util under 95%: 00
[451] Application util under 95%: 00
[452] Application util under 95%: 00
[453] Application util under 95%: 00
[454] Application util under 95%: 00
[455] Application util under 95%: 00
[456] Application util under 95%: 00
[457] Application util under 95%: 00
[458] Application util under 95%: 00
[459] Application util under 95%: 00
[460] Application util under 95%: 00
[461] Application util under 95%: 00
[462] Application util under 95%: 00
[463] Application util under 95%: 00
[464] Application util under 95%: 00
[465] Application util under 95%: 00
[466] Application util under 95%: 00
[467] Application util under 95%: 00
[468] Application util under 95%: 00
[469] Application util under 95%: 00
[470] Application util under 95%: 00
[471] Application util under 95%: 00
[472] Application util under 95%: 00
[473] Application util under 95%: 00
[474] Application util under 95%: 00
[475] Application util under 95%: 00
[476] Application util under 95%: 00
[477] Application util under 95%: 00
[478] Application util under 95%: 00
[479] Application util under 95%: 00
[480] Application util under 95%: 00
[481] Application util under 95%: 00
[482] Application util under 95%: 00
[483] Application util under 95%: 00
[484] Application util under 95%: 00
[485] Application util under 95%: 00
[486] Application util under 95%: 00
[487] Application util under 95%: 00
[488] Application util under 95%: 00
[489] Application util under 95%: 00
[490] Application util under 95%: 00
[491] Application util under 95%: 00
[492] Application util under 95%: 00
[493] Application util under 95%: 00
[494] Application util under 95%: 00
[495] Application util under 95%: 00
[496] Application util under 95%: 00
[497] Application util under 95%: 00
[498] Application util under 95%: 00
[499] Application util under 95%: 00
[500] Application util under 95%: 00
[501] Application util under 95%: 00
[502] Application util under 95%: 00
[503] Application util under 95%: 00
[504] Application util under 95%: 00
[505] Application util under 95%: 00
[506] Application util under 95%: 00
[507] Application util under 95%: 00
[508] Application util under 95%: 00
[509] Application util under 95%: 00
[510] Application util under 95%: 00
[511] Application util under 95%: 00
[512] Application util under 95%: 00
[513] Application util under 95%: 00
[514] Application util under 95%: 00
[515] Application util under 95%: 00
[516] Application util under 95%: 00
[517] Application util under 95%: 00
[518] Application util under 95%: 00
[519] Application util under 95%: 00
[520] Application util under 95%: 00
[521] Application util under 95%: 00
[522] Application util under 95%: 00
[523] Application util under 95%: 00
[524] Application util under 95%: 00
[525] Application util under 95%: 00
[526] Application util under 95%: 00
[527] Application util under 95%: 00
[528] Application util under 95%: 00
[529] Application util under 95%: 00
[530] Application util under 95%: 00
[531] Application util under 95%: 00
[532] Application util under 95%: 00
[533] Application util under 95%: 00
[534] Application util under 95%: 00
[535] Application util under 95%: 00
[536] Application util under 95%: 00
[537] Application util under 95%: 00
[538] Application util under 95%: 00
[539] Application util under 95%: 00
[540] Application util under 95%: 00
[541] Application util under 95%: 00
[542] Application util under 95%: 00
[543] Application util under 95%: 00
[544] Application util under 95%: 00
[545] Application util under 95%: 00
[546] Application util under 95%: 00
[547] Application util under 95%: 00
[548] Application util under 95%: 00
[549] Application util under 95%: 00
[550] Application util under 95%: 00
[551] Application util under 95%: 00
[552] Application util under 95%: 00
[553] Application util under 95%: 00
[554] Application util under 95%: 00
[555] Application util under 95%: 00
[556] Application util under 95%: 00
[557] Application util under 95%: 00
[558] Application util under 95%: 00
[559] Application util under 95%: 00
[560] Application util under 95%: 00
[561] Application util under 95%: 00
[562] Application util under 95%: 00
[563] Application util under 95%: 00
[564] Application util under 95%: 00
[565] Application util under 95%: 00
[566] Application util under 95%: 00
[567] Application util under 95%: 00
[568] Application util under 95%: 00
[569] Application util under 95%: 00
[570] Application util under 95%: 00
[571] Application util under 95%: 00
[572] Application util under 95%: 00
[573] Application util under 95%: 00
[574] Application util under 95%: 00
[575] Application util under 95%: 00
[576] Application util under 95%: 00
[577] Application util under 95%: 00
[578] Application util under 95%: 00
[579] Application util under 95%: 00
[580] Application util under 95%: 00
[581] Application util under 95%: 00
[582] Application util under 95%: 00
[583] Application util under 95%: 00
[584] Application util under 95%: 00
[585] Application util under 95%: 00
[586] Application util under 95%: 00
[587] Application util under 95%: 00
[588] Application util under 95%: 00
[589] Application util under 95%: 00
[590] Application util under 95%: 00
[591] Application util under 95%: 00
[592] Application util under 95%: 00
[593] Application util under 95%: 00
[594] Application util under 95%: 00
[595] Application util under 95%: 00
